"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","Get file with incorrect file id","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","554","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","27","Get course","LMS service","2026-09-03","passed","2026-09-03","Get entity","Courses","",""
"","25","Create exercise","LMS service","2026-09-03","passed","2026-09-03","Create entity","Exercises","",""
"","558","Login with correct email and password","LMS service","2026-09-03","passed","2026-09-03","Login","Authentication","",""
"","12","Get user me","LMS service","2026-09-03","passed","2026-09-03","Get entity","Users","",""
"","21","Get exercises","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","28","Create course","LMS service","2026-09-03","passed","2026-09-03","Create entity","Courses","",""
"","269","Create file with empty directory","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","24","Delete exercise","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Exercises","",""
"","289","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","270","Create file with empty filename","LMS service","2026-09-03","passed","2026-09-03","Validate entity","Files","",""
"","20","Get exercise","LMS service","2026-09-03","passed","2026-09-03","Get entities","Exercises","",""
"","544","Create user","LMS service","2026-09-03","passed","2026-09-03","Create entity","Users","",""
"","19","Update exercise","LMS service","2026-09-03","passed","2026-09-03","Update entity","Exercises","",""
"","38","Update course","LMS service","2026-09-03","passed","2026-09-03","Update entity","Courses","",""
"","299","Delete file","LMS service","2026-09-03","passed","2026-09-03","Delete entity","Files","",""
"","15","Get file","LMS service","2026-09-03","passed","2026-09-03","Get entities","Files","",""
"","25","Create file","LMS service","2026-09-03","passed","2026-09-03","Create entity","Files","",""
